TEAM,SCHOOL
LSU,LSU
ALA,Alabama
OSU,Ohio State
OKLA,Oklahoma
CLEM,Clemson
NAVY,Navy
MINN,Minnesota
LOU,Louisville
WIS,Wisconsin
FLA,Florida
USC,USC
UTAH,Utah
IND,Indiana
WSU,Washington State
TEX,Texas
STAN,Stanford
PSU,Penn State
UGA,Georgia
ND,Notre Dame
OHIO,Ohio
ORE,Oregon
MEM,Memphis
VT,Virginia Tech
KENT,Kent State
MISS,Ole Miss
TA&M,Texas A&M
MSST,Mississippi State
TTU,Texas Tech
SMU,SMU
UL,Louisiana
UNC,North Carolina
MICH,Michigan
ISU,Iowa State
HAW,Hawai'i
UVA,Virginia
CAL,California
KSU,Kansas State
ULM,Louisana Monroe
MSU,Michigan State
BAY,Baylor
APP,Appalachian State
ORST,Oregon State
UCF,UCF
IOWA,Iowa
CLT,Charlotte
TENN,Tennessee
ARIZ,Arizona
SJSU,San Jose State
MTSU,Middle Tennessee
WASH,Washington
WMU,Western Michigan
GAST,Georgia State
EMU,Eastern Michigan
TROY,Troy
ASU,Arizona State
OKST,Oklahoma State
USM,Southern Mississippi
AUB,Auburn
WAKE,Wake Forest
COLO,Colorado
WKU,Western Kentucky
HOU,Houston
KU,Kansas
MIZ,Missouri
FAU,Florida Atlantic
TULN,Tulane
TCU,TCU
ECU,East Carolina
BYU,BYU
UCLA,UCLA
ARST,Arkansas State
SC,South Carolina
LAT,Louisiana Tech
PITT,Pittsburgh
BALL,Ball State
CSU,Colorado State
NEB,Nebraska
FSU,Florida State
SDSU,San Diego State
CMU,Central Michigan
FIU,Florida International
CIN,Cincinnati
LIB,Liberty
TEM,Temple
PUR,Purdue
MISS,Ole Miss
TLSA,Tulsa
USU,Utah State
FRES,Fresno State
DUKE,Duke
UAB,UAB
SYR,Syracuse
ILL,Illinois
UNT,North Texas
M-OH,Miami (OH)
MRSH,Marshall
CCU,Coastal Carolina
VAN,Vanderbilt
WVU,West Virginia
USF,South Florida
NIU,Northern Illinois
MIA,Miami
UNLV,UNLV
UNM,New Mexico
NCST,NC ST
UTEP,UTEP
GASO,Georgia Southern
CCU,Coastal Carolina
GT,Georgia Tech
TXST,Texas State
RUTG,Rutgers
UTSA,UT San Antonio
NEV,Nevada
TXST,Texas State
CONN,Connecticut
MD,Maryland
NW,Northwestern
BGSU,Bowling Green
NMSU,New Mexico State
ODU,Old Dominion
AKR,Akron
USA,South Alabama
AFA,Air Force
AKRON,Akron
ARK,Arkansas
ARKST,Arkansas State
ARMY,Army
BC,Boston College
BSU,Boise State
BUFF,Buffalo
CHAR,Charlotte
IDAHO,Idaho
LT,Louisiana Tech
MIAMI,Miami
RICE,Rice
TOL,Toledo
UCONN,Connecticut
UK,Kentucky
ULL,Louisiana
UMASS,Massachusetts
WYO,Wyoming
